abandon,v./n.放纵;v.放弃
audacious,adj.大胆的，（但往往）愚勇的
augur,n.预言家/vt.预言
authentic,adj.真实的，非仿造的
authority,n.（某领域的）权威人士;n.管辖权，控制
autocracy,n.独裁政府
autonomy,n.政治上的独立；;n.自我主导的自由，（尤其是）精神独立
avarice,n.贪财，贪婪
aver,v.声称为真
averse,adj.反对的
avid,adj.急切渴望的
awash,adj.（如洪水般）泛滥的
awe,n./v.敬畏
awkward,adj.缺乏灵活性和技巧的;adj.（处理问题）缺乏手段和智谋的
avant-garde,n.（尤指艺术上的）先锋派
awry,adj./adv. 出差错的（地）
axiomatic,adj.不言自明的
babble,v.发出含糊无意义的嘟囔声，胡乱说；
backhanded,adj.间接的
badger,vt.不断纠缠或骚扰
badinage,n.打趣，善意的玩笑
bait,vt.引诱;n.诱饵
bale,n.痛苦，悲哀
baleful,adj.有害的
balk,vt.阻碍;v.不愿接受，拒绝
balky,adj.不服管束的，倔强的
balderdash,n.胡言乱语，废话，无意义的话
balloon,v.迅速增加
balm,n.香油，止痛膏；安慰物
banal,adj.非原创的，陈腐的
bane,n.有害的物质
banish,vt.驱逐出境
banter,n./v.幽默、打趣的（地）谈话
barb,n.尖锐而严厉的批评
barbarous,adj.野蛮的
barefaced,adj.公然的
bargain,n.协议;v.讨价还价
baroque,"adj.复杂,装饰华丽的"
barrage,n.有压倒之势的言语
barren,adj.无效的;adj.贫瘠的
barricade, n.障碍物;v.用障碍物阻止通过
barter,v.以物换物
beguile,v.欺骗
bathetic,adj.平凡的，陈腐的
befuddle,v.使困惑
bedeck,v.装饰，点缀
belabor, v.严厉批评;v.喋喋不休
beleaguer,v.使困扰，使烦恼，使消沉
belie, v.掩饰；;v.与…相对立；与…相矛盾
bellwether,n.领导者，带头人
beneficent, adj.仁慈的，好慈善的；;adj.（对个人或社会）有益的
benign,adj.无害的
berate,v.（长时间）严厉指责
beseech,v.（急切地）恳求
besmirch,v.诽谤，玷污
bifurcate,v.（使）分成两支
bigot,n.固执己见者，有偏见的人
bland,adj.无趣的
blandishment,n.甜言蜜语，讨好某人的话
blasé,adj.（过度放纵之后）厌倦享乐的，腻烦的
blast, n.爆炸；;v.炸裂，爆破；;v.斥责，抨击
blatant,adj.（让人生厌地）惹人注目的
blazon, v.使知名;v.修饰，装扮
blemish,n.缺点，污点;v.损害，玷污
blight,v.（使）枯萎;v.损害
bliss,n.极度快乐
blithe,adj.愉快高兴的;adj.无忧无虑的；漫不经心的
blueprint,v.事先计划
blunder,n.过失;v.犯错误
blunt,v.使变钝;adj.直率的
blur,v.（使）变得朦胧，（使）变得不清楚；;v.使不易理解
blurt,v.突然说出
bluster,v.狂妄自大地大声说;n.喧闹的状态
boggle,v.（因为怀疑、恐惧）犹豫
boisterous,adj.喧嚷的，吵闹的
bolster,n./v.支撑（物）;v.鼓励，使有精力
bombast,n.夸大的言辞
bonhomie,n.温和，和蔼
boo,n./v.嘘（以表示不满或嘲笑）
boon,n.恩惠，福利
boorish,adj.粗鲁无礼的
bootless,adj.无用的
bound,n.界限;adj.投入的，坚定的
boycott,vt.联合抵制，拒绝参与
bracing,adj.令人振奋的，给人带来活力的
brake,v.刹车
brash,adj.愚勇的，鲁莽的
brassy,adj.厚脸皮的，不知羞耻的
bravado,n.假装勇敢;n.虚张声势
bravura,adj./n.优秀演技（的）
brazen,adj.蛮横大胆的，厚颜无耻的;v.大胆自信地去面对或从事
breach,v.违背
brevity,n.简短，简洁
bribe,v.贿赂，收买
bridle,v.限制
brisk,adj.充满生机的，有活力的；
bristle,v.怒不可遏，咆哮
brittle,adj.易碎的，脆弱的，易坏的;adj.不热心的，不真心的
broach,v.提出讨论
bromide,n.陈词滥调
brook,v.忍受，容许
browbeat,v.恐吓
bruit,v.（未经证实地）散播（消息）
buck,v.阻止，反对
budge,v.停止抵抗，屈服
bulge,n.凸起
bully,n.欺凌弱小者
bumptious,adj.专横傲慢的，自以为是的
bungle,v.办糟，失败
buoy,v.使充满勇气和力量，使振作
buoyant,adj.心情好的
burgeon,vi.迅速成长扩大，蓬勃发展
burlesque,n./v.夸张滑稽地模仿以嘲弄他人的文学艺术作品，恶搞
burnish,v.擦亮，磨光
buttress,vt.为…提供支撑的证据或者信息
byzantine,adj.错综复杂的
cache,n.囤货，藏货
cachet,n.同意;n.声望
cacophony,n.刺耳的声音
cavalier,n.彬彬有礼的绅士;adj.傲慢的
cajole,v.哄骗
calcify,v.使僵化
calibrate,v.校准，调校
calligraphy,n.（优美的）书法
callous,"adj.无同情心的,冷漠的"
callow,adj.不老练的，不成熟的
calumniate,v.诽谤，造谣，中伤
camaraderie,n.友情
catharsis,n.情绪的宣泄、释放
camouflage,v./n.伪装；伪装手段
canard,n.谣传，误传
candor,n.坦白，直率，诚挚
canon,n.准则，标准;n.真经，正典
canvass,v.仔细检查，详尽讨论;v.游说，去（一个地区）的各处或找到（个人）来拉选票或订单
capitulate,v.投降，默许
caprice,n.反复无常，善变
captivate,v.吸引
careworn,adj.忧心忡忡的，焦虑的
cardinal,adj.主要的，非常重要的
caricature,n.用讽刺歪曲等手法的夸张，漫画，讽刺画;v.嘲笑性模仿或夸张
carnal,adj.肉体的，物质的;adj.世俗的
carouse,v.畅饮，狂饮作乐
carp,v.对小事吹毛求疵，挑剔，表现不满
cliquish,adj.小集团的
cast,v.提出;v.抛弃
castigate,vt.强烈（公开）指责
catalyze,vt.成为…的导火索，导致
catastrophe,n.大灾难;n.彻底的失败
categorical,adj.没有例外的；绝对的
catholic,adj.普遍的，包容的
caustic,adj.挖苦讽刺的，刻薄的
caveat,n.警告，告诫
cavil,v.挑剔，吹毛求疵
cataclysmal,adj.灾难性的
cede,vt.（根据条约）放弃，割让
cement,n./v.粘合，粘合剂
censor,vt.审查并删除不良的东西
concomitant,adj.伴随的，同时发生的
censure,v.公开表示反对，谴责
chic,adj.时髦的，潮的
cessation,n.终止，暂停
chaff,v.开玩笑
chagrin,n.（因为失败、出糗而导致的）不安，焦虑
chameleon,n.变色龙，善变的人
champion,v.支持
compulsive,adj.不能自拔的
chimera,n.虚构的事物，幻觉
charlatan,n.骗子，装懂的人
chary,adj.非常谨慎的
chase,v.驱赶
chasm,n.分歧，（意见、利益或忠诚上的）明显差异
chauvinistic,adj.盲目爱国的
check,v.使突然停止，阻止;v.同意，一致
cherubic,adj.天使般可爱的
chicanery,n．诡计多端，欺骗
chide,v.责备
choleric,adj.易怒的，暴躁的
chord,v.与…和谐一致；符合
chromatic,adj.彩色的
chronic,adj.经常发生的，复发的
churlish,adj.粗鲁无礼的
cipher,n.密码
circuitous,adj.迂回的，不直接的
circumlocution,n.冗长
circumscribe,vt.限制
circumspect,adj.谨慎的，小心的
circumvent,v.躲避，不遵从
civility,n.彬彬有礼
chokehold,n.压制
clandestine,adj.隐藏的，秘密的
clarion,adj.清楚响亮的
clarity,n.清晰，清楚
clasp,n./v.紧握
clement,adj.宽容的，善良的;adj.气候温和的
cliché,n./adj.陈词滥调（的）
clog,n.阻碍物;v.阻碍
clot,n.密集的一群;v.凝结
cordial,adj.热情的，友好的;adj.令人振奋的，令人焕然一新的
clout,n.权力，影响力
cloying,adj.甜得发腻的；感情用事的
clumsy,adj.笨拙的
coagulate,v.（使）凝结，（使）变稠
coalesce,v.合并，融合
coax,v.哄骗
coda,n.终曲
coerce,vt.（以武力）强制
coeval,adj.同时代的，同龄的
cogent,adj.令人信服的;adj.相关的
cognizant,adj.知道的，意识到的
collapse,v./n.失败
collude,v.串通，共谋（做坏事）
colossal,adj.巨大的
coltish,adj.爱开玩笑的
coma,n.昏迷，深度无知觉
combustible,adj.可燃的;adj.容易激动的
cluster,n.一群人
comity,n.友好，社会和谐
commencement,n.开始;n.毕业典礼
commend,vt.赞扬
commensurate,adj.同样大小的;adj.相称的，相当的
commingle,v.充分混合
commitment,n.致力，投入;n.承诺，表态
committed,adj.忠诚的，忠实的
commodious,adj.宽敞舒适的
commonsensical,adj.符合常识的，有依据的
commotion,n.骚乱
compendium,n.摘要
complacency,n.自满，无忧患意识
complaisance,n.愿意顺从，讨好，彬彬有礼
compliant,adj.顺从的
compliment,n./vt.称赞，恭维；;n.敬意，免费赠送的礼物
clownish,adj.滑稽可笑的
compose,v.组成，构成;v.使镇定
compound,n.混和物;adj.混合的;v.混合;v.使恶化，加重
compress,v.压缩（体积）
compromise,v.妥协;v.使危险
compunction,n.焦虑，内疚，良心不安
concatenate,v.连结，混合
concoct,v.捏造，编造
conceal,v.隐藏，隐瞒
concede,v.承认
concentrate,v.聚集;v.浓缩
concerted,adj.共同完成的
conciliate,v.平息，抚慰
commonplace,adj./ n.司空见惯的（事物）
concord,n.一致，和睦
concur,v.同意;v.同一时间发生、存在;v.团结合作
condescending,adj.摆出高人一等的姿态的
condign,adj.应得的，恰当的
condole,v.表达同情
condone,v.宽恕；忽视
conducive,adj.有益的，有促进作用的
cantankerous,adj.脾气不好的
confine,v.限制
confluence,n.汇合，混合
confront,vt.直接对抗，直面
confound,v.使困惑;v.证明为假，证伪
congeal,v.凝固，固化
congenial,adj.和善的，友好的
congruent,adj.和谐一致的;adj.全等的
conjecture,n.推测，猜测;v.（没有依据地）认为
connive,v.暗中合作，共谋
connoisseur,n.专家;n.鉴赏家（尤指艺术领域）
conscientious,adj.有良心的，正直的;adj.仔细的，一丝不苟的
consensus,n.一致同意
consequence,n.结果;n.重要性，价值
conservative,adj.守旧的，不愿改变的;adj.不招摇的，低调的
conservatory,n.温室;n.艺术学院
consilience,n.融合
considerable,adj.（数量上）可观（而值得注意）的;adj.值得考虑的，重要的
console,v.安慰，藉慰
consolidate,v.加固，使安全
consonant,adj.和谐一致的
conspicuous,adj.显而易见的，吸引人的
conspire,v.合谋，密谋
constitute,v.指派，任命;v.构成
constrain,v.限制
constringe,v.使紧缩
construct,v.建造，建立;v.创造，想出
consummate,adj.专业的，有造诣的;adj.无纰漏的，完美的
contagious,adj.传染的;adj.（情绪等）唤起共鸣的
contaminate,v.污染，感染
content,v.使满足;n.内容，内涵
contentious,adj.引起争论的;adj.好争论的，好战的
contiguous,adj.接壤的，相邻的
contort,v.扭曲
contract,n.契约，合同;v.收缩;v.感染疾病
contravene,v.违反，反对
contrite,adj.（因为有罪孽或过错而感到）后悔悲痛的
contumacious,adj.不服从的，倔强的
conundrum,n.无法解决的问题，迷
convalesce,v.渐渐康复，渐愈
cloak,v.遮掩，隐藏
convention,n.常规，习俗;n.大会，集会
converge,v.汇集，交汇于一点
conversant,adj.熟悉的
convert,v.改变，转化
consort,v.结交
cagey,adj.不乐意说话的
conviction,n.深信，确信;n.证明有罪
convoke,v.召集开会
convoluted,adj.复杂的，费解的
convulsion,n.骚乱
coop,v.监禁，困于…之中
copious,adj.丰富的，大量的
coquette,v.调情，不认真对待
countervail,v.抗衡，抵消
cornucopia,n.大量
coronation,n.加冕，加冕礼
corporeal,adj.肉体的;adj.有形的，实体的
corroborate,v.用证据或权威证实;v.为…提供证据，支持
corrosive,adj.腐蚀性的;adj.讽刺性的
corrugated,adj.褶皱的
cosmopolitan,adj.有世界性眼光的，包容的
cosset,v.宠爱
countenance,v.容忍;v.赞成，推崇
counterfeit,adj.仿制的，假冒的;v.仿制
countermand,v.取消，撤销
court,vt./n.追求，献殷勤
covert,adj.隐蔽的，秘密的
covetous,adj.贪婪的，渴求财富的
cow,v.恐吓，威胁
cowardice,n.懦弱，不坚定
cower,v.畏缩
cozen,v.诱骗
cramped,n.狭小的，狭窄的
crass,adj.粗俗的，愚钝的
crave,v.热望
craven,adj.非常懦弱的，因胆小而遭人鄙视的
contingency,n.可能发生的事
credence,n.坚信
credulous,adj.轻信的，易受骗的
caterwaul,v.嚎叫
creep,vi./n. 缓慢地行进
crescendo,n.（渐强之后到达的）顶峰
crest,n. 顶部，浪尖，山顶
crestfallen,adj.垂头丧气的，沮丧的
cronyism,n. 任人唯亲，对好友的偏袒
crook,vt. 使弯曲
croon,v. 低声歌唱或说话
culminate,v. 达到高潮
crucial,adj. 非常重要的，决定性的
crumple,v. 弄皱
crutch,n./v. 支撑，支柱
crux,n. 中心，关键点
cryptic,adj.秘密的;adj.难以理解的
culpable,adj. 该受谴责的，有罪的
cultivate,vt. 提升，加强;vt.种植，培养
cumbersome,adj. 笨重的，难处理的
cunning,adj. 狡猾的
curmudgeon,n. 脾气坏的、爱抱怨的人
cursory,adj. 匆忙的，不注意细节的
curt,adj. 言辞简略的，直接（以致显得粗鲁）的
curtail,vt. 缩短，削减
cynic,n. 反人类的喷子
dabble,vi.涉猎，对…浅尝辄止
daft,adj. 不明智的
dazzling,adj. 炫目的，耀眼的
dally,vi. 虚度时光
damper,n. 抑制因素
dandy,n. 纨绔子弟，爱打扮的人
dank,adj. 阴湿的
dapper,adj. 衣冠整洁的
dappled,adj. 有斑点的，花的
daredevil,adj./n. 大胆鲁莽的（人）
dart,vi. 突然移动，猛冲，狂奔;n. 公开侮辱
daunt,vt. 使胆怯，吓倒
dawdle,v. 拖拖拉拉
deadpan,n. 无趣的，无生气的，不活泼的
dearth,n. 供应不足
debacle,n. 溃败
debark,v.（使）下船（飞机，车等）；卸（客，货）
debase,v. 贬低，贬损
debilitate,vt. 使衰弱
debris,n. 废墟
debunk,vt. 揭露…的真面目
debut,n. 初次登台，出道
decadence,n. 衰落，颓废
detest,v. 厌恶
decipher,vt. 破译;vt. 对…有清晰的想法，理解，解读
decode,vt. 解码;vt. 对…有清晰的想法，理解，解读
decorous,adj. 得体端正的
decrepit,adj. 虚弱的，衰老的，破旧的
default,n. 不履行义务，玩忽职守
defer,v. 推迟，延期;vi. 遵从
document,v.证实
deficiency,n. 缺乏，不足
devious,adj. 狡猾的
deft,adj. 灵巧的，熟练的
defuse,vt. 抚慰，减轻
defy,vt. 蔑视
dehydrate,vt. 去除水分，使干燥;v. 使失去活力
deify,vt. 尊崇，尊敬
deject,vt. 使沮丧
deleterious,adj. 有害的
deliberate,adj. 深思熟虑的
delicacy,n. （外貌、结构等） 精致
delirium,n. 精神错乱；极度兴奋，发狂
delusion,n. 错觉，妄想
deluge,n. 大暴雨；;n. 大量
delve,v. 探究，钻探
demagogue,n. 蛊惑民心的政客
demanding,adj. 难取悦的，难满足的;adj. 费时间花心思的
demolition,n. 破坏，毁坏
demonstrate,vt. （通过证据）证明，表明
demoralize,vt. 使士气低落;vt. 贬低，使堕落
demotic,adj. 通俗的，大众化的
demur,n./vi. 表示异议，反对
denigrate,vt. 诋毁，污蔑
disingenuous,adj.不真诚的，假惺惺的
denounce,vt. 公开指责
dent,vt. （数量、程度上）削弱
denude,vt. 脱去，使赤裸
deplete,vt. 耗尽，使衰竭
deplore,vt. 谴责，强烈反对
deploy,v.（有目的地）展开；调度，部署
deportation,n. 放逐
depose,vi. 宣誓作证;vt. 废黜，罢免
deposit,n. 自然积累，沉积，矿藏;vt. 存钱
depravity,n. 道德败坏
deprecate,vt. 不喜欢;vt. 贬低，轻视
depreciate,vt. 贬低…的价值
depressed,adj. 不开心的，情绪不高的，消沉的
deprivation,n. 匮乏
deracinate,vt. 根除
derelict,adj. 玩忽职守的，不认真的
deride,vt. 嘲弄，嘲笑
derivative,adj. 非原创的
descend,v. 下降;v.世代相传
divination,n. 预言
desecrate,vt. 亵渎，玷污
desiccate,vt. 使缺乏活力
designate,vt. 任命;vt. 命名
despicable,adj. 令人鄙视的
despise,vt. 极其不喜欢
despotic,adj. 专制的，暴虐的
desultory,adj. 无计划的，无目的的
detach,vt. 使分离
detain,vt. 拘留，扣留
deter,vt. 吓住，威慑
deterioration,n. 恶化；堕落
detour,n. 偏离正常标准
detract,vt. 贬低，降低价值;vt. 使分心
detritus,n. 废品，碎屑，遗骸
devoted,adj. 投入的；忠诚的
devout,adj. 忠诚的
dexterous,adj. 动作灵活的;adj. 头脑灵活的
diabolic,adj. 恶魔一般的
diaphanous,adj. 模糊的；非实在的 ;adj.(质地精致得）几乎透明的
diatribe,n. 长篇抨击性演讲
didactic,adj. 喜欢说教的，思修的
diehard,adj. 顽固的，保守的 n. 顽固的人，保守的人
dovish,adj. 鸽派的，爱好和平的
diffuse,adj. 啰嗦的 ;v. 扩展，散开
digress,v. 脱离主题
dilapidate,v. （使）荒废
dilate,v. （使）膨胀，扩大
dilatory,adj. 拖延的，磨蹭的
dilettante,n./adj. 业余爱好者（对艺术或知识领域涉猎浅薄者）/缺乏专业技术的
diligent,adj. 勤勉的，辛勤的
dilute,vt. 稀释;adj. 经稀释的
diminish,v. （使）变小，（使）减少;v. 轻视，贬低
disquisition,n. 专题论文
dingy,adj. 昏暗的；肮脏的
diocesan,adj. 主教管辖区的
diplomatic,adj. 使用策略的，机智的
dire,adj. 可怕的，恐怖的;adj. 迫切的
demography,n. 人口统计学
disabuse,vt. 打消错误念头，纠正
disaffected,adj. 不满的，叛逆的
disarm,vt. 使息怒，平息，抚慰
disarray,n. 混乱，无秩序;vt. 使混乱
disavow,vt. 拒绝承认，否认
discern,v. 识别，辨别差异
discharge,vt. 解雇;vt. 释放
disciple,n. 信徒，追随者
discombobulate,vt. 使不安，使混乱
discomfit,vt. 使尴尬;vt. 阻碍
discommode,vt. 打扰，使不便
discompose,vt. 使不安;vt. 使混乱
disconcert,vt. 使不安
discord,n. 意见不一致，不和谐
discredit,vt. 羞辱，使丧失名誉;vt. 怀疑，不相信
discrepancy,n. (在事实和宣称之间的）差异或矛盾
discrete,adj. 离散的，不连续的
discretion,n. 谨慎;n. 自制，节制
discretionary,adj. 自主决定的
discriminate,vt. 区分;vi.歧视
discursive,adj. （谈话内容）杂乱的
disdain,vt. 轻视，鄙视
disengage,vt. 分开，使脱离
disgorge,v. 呕吐出
disgruntle,vt. 使发怒，使不满意
dignified,adj. 高贵庄严的
disinclination,n. 不喜欢，厌恶，不情愿
disinfect,vt. 消毒，使无菌
disjointed,adj. 不连贯的
disinter,vt. （从墓地里）掘出
disinterested,adj. 公正的，无偏见的
disjunctive,adj.分离的
dismantle,vt. 分解，分拆
dismay,vt. 使失去勇气;vt. 使不安，使焦虑
disparage,vt. 贬低，轻蔑地说
disparate,adj. 迥然不同的
dispassionate,adj. 客观公正的，不易被情绪或偏见影响的
dispatch,n. 迅速;vt. 发送，派遣
dispose,vt. 使倾向于;vi. 处理掉（与of连用，dispose of)
disregard,vt. 漠视，不关注;n. 缺乏兴趣，缺乏关心
dissect,vt. 仔细分析
dissemble,v. 用假象隐藏真相，掩饰
disseminate,vt. 散播，传播
dissension,n. 意见不合
dissent,vi. 持异议，不同意;n. 反对正统
dissipate,vt. 驱散;vt. 浪费
dissolute,adj. 放荡的，无节制的
dissolve,v. 溶解，融化;v. 解散
dissonance,n. (音调）不和谐，刺身；不一致，分歧
dissuade,vt. 劝阻，反对
distain,vt. 贬损，伤害（某人的）名誉
distal,adj. 远离中心的，（神经）末梢的
distend,v.(使）膨胀
distill,vt. 对…用蒸馏法提高纯度
distort,vt. 扭曲，歪曲
distract,vt. 转移（注意力），使分心
distraught,adj. 精神狂乱的，极疯狂的
diurnal,adj. 白天发生或行动的
diverge,vt. （使）分叉，散开;vi. 分歧
diversity,n. 多样性
divert,vt. 使转向;vt. 使消遣
divestiture,n. 剥夺
divulge,vt. 泄露（秘密)
dodder,vi. 蹒跚，颤巍巍地行进
dodge,v. 躲避
doff,vt. 脱下
dogged,adj. 固执的，任性的
dogmatic,adj. 武断的，自以为是的
doldrums,n. 低迷，中断
dolorous,adj. 忧伤的
dolt,n. 笨蛋
domicile,vt. 为…提供住处
dominant,adj. 处于支配地位的;adj. （基因）显性的
don,vt. 穿上
donor,n. 捐赠人，给体
doodle,vi (无目的地）乱涂乱画;vi. 漫无目的地打发时光
dormant,adj. 静止的，不活跃的
dour,adj. 严厉的
douse,vt. 熄灭
downplay,vt. 轻描淡写，不予重视
doom,v. 注定（倒霉）
doyen,n. 有经验的人，资深人士，老司机
doze,vi./n. 小憩
draconian,adj. 极其严酷的；十分严厉的
drawl,v. 慢吞吞地说
dreary,adj. 单调乏味的
drench,vt. 使湿透，浸透
drivel, n. 胡言乱语
diminutive,adj. 极小的
drollness,n. 搞笑，逗逼
drone,v. 低沉单调地说；嗡嗡地叫
drudgery,n. 苦工；单调、卑贱或无趣的工作
dubious,adj. 充满不定性的，值得怀疑的
ductile,adj. 易受影响的
dulcet,adj. 悦耳的，令人愉悦的
dullard,n. 笨蛋
dupe,n. 易受骗的人;vt. 欺骗
duplicitous,adj. 两面派的，奸诈的
dwindle,vi. 逐渐减少
dyspeptic,adj. 脾气坏的
earnest,adj. 严肃认真的
embryonic,adj. 初期的，萌芽阶段的
earsplitting,adj. 震耳欲聋的
eavesdrop,vi. 偷听
ebullient,adj. 热情奔放的
eccentric,adj. 行为出格的，不循规蹈矩的
eclat,n. 辉煌成就
eclipse,vt. 使声望下降，使黯然失色
ecstasy,n. 狂喜
ecumenical,adj. 世界范围的，普遍性的
edible,adj. 可食用的
edifice,n. 大厦，大建筑物 ;n. 基础，基本框架
efface,vt. 擦掉，抹去；使不明显
effervesce,vi. 兴奋，热情洋溢
effete,adj. 衰弱的，衰落的
effluvium,n. 难闻的气味
effrontery,n. 厚颜无耻，放肆大胆
effulgent,adj. 光辉灿烂的
effusive,adj. 感情泛滥的/溢于言表的；感情表达不节制的/过度的；过分多情的
egalitarian,adj. 平等主义的
egoistic,adj. 利己的，以自我为中心的
elaborate,adj. 详细的，复杂的;vt. 详细阐述
elastic,adj. 有弹性的;adj. 能（迅速从伤痛中）恢复的
elate,vt. 使开心，使自豪
eleemosynary,adj. 慈善的
elegy,n. 哀歌（诗），挽歌（诗）
elephantine,adj.巨大的;adj. 笨拙的
elevate,vt. (在道德、智力、文化水平上）提升;vt. 使兴奋
elicit,vt. 激起，唤起
elliptical,adj. 含糊不清的;adj. 椭圆的
elucidate,v. 阐明
emaciate,vt. 削弱
emancipate,vt. 解放，解除束缚
embargo,n. 贸易禁止令
embark,vi. 开始从事
embarrass,vt. 使尴尬
embed,vt. 嵌入
